Repository,Category,Deployment Frequency (DF)
materialsvirtuallab/megnet,ML,64.85
moby/moby,Non-ML,27.45
netdata/netdata,Non-ML,30.15
ofek/hatch,Non-ML,23.94
prettier/prettier,Non-ML,25.43
microsoft/onnxruntime,ML,44.06
pytorch/tnt,ML,null
searchkit/searchkit,Non-ML,28.08
yasserfarouk/negmas,ML,37.23
zhongkaifu/Seq2SeqSharp,ML,541
tailwindlabs/tailwindcss,Non-ML,12.81
traefik/traefik,Non-ML,14.53
vuetifyjs/vuetify,Non-ML,7.02
yahoo/react-stickynode,Non-ML,74.7
apache/spark,ML,null
django/django,Non-ML,null
git/git,Non-ML,null
